PartitionKey,RowKey,Timestamp,DeploymentId,DeploymentId@type,EventTime,EventTime@type,Facility,Facility@type,FluentdIngestTimestamp,FluentdIngestTimestamp@type,Host,Host@type,Ignore,Ignore@type,Msg,Msg@type,N,N@type,PreciseTimeStamp,PreciseTimeStamp@type,RowIndex,RowIndex@type,SendingHost,SendingHost@type,Severity,Severity@type,TIMESTAMP,TIMESTAMP@type,hostname,hostname@type,ident,ident@type,pid,pid@type
0000000000000000009___0637597099200000000,1d7e71c3-b5ed-4821-837b-6599dd5451ba___vm-adpoc-1___0003940817177673728,2021-06-19T14:33:11.140Z,1d7e71c3-b5ed-4821-837b-6599dd5451ba,Edm.String,2021-06-19T14:32:13+0000,Edm.String,auth,Edm.String,2021-06-19T14:32:13.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,syslog,Edm.String,Connection closed by invalid user profile1 102.22.177.9 port 49210 [preauth],Edm.String,0000000000000000009,Edm.String,2021-06-19T14:32:13.000Z,Edm.DateTime,0003940817177673728,Edm.String,localhost,Edm.String,info,Edm.String,2021-06-19T14:32:00.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,sshd,Edm.String,4241,Edm.String
0000000000000000009___0637597099200000000,1d7e71c3-b5ed-4821-837b-6599dd5451ba___vm-adpoc-1___0003940817177673729,2021-06-19T14:33:11.140Z,1d7e71c3-b5ed-4821-837b-6599dd5451ba,Edm.String,2021-06-19T14:32:20+0000,Edm.String,daemon,Edm.String,2021-06-19T14:32:20.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,syslog,Edm.String,Reloading.,Edm.String,0000000000000000009,Edm.String,2021-06-19T14:32:20.000Z,Edm.DateTime,0003940817177673729,Edm.String,localhost,Edm.String,info,Edm.String,2021-06-19T14:32:00.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,systemd,Edm.String,1,Edm.String
0000000000000000009___0637597099200000000,1d7e71c3-b5ed-4821-837b-6599dd5451ba___vm-adpoc-1___0003940817177673730,2021-06-19T14:33:11.140Z,1d7e71c3-b5ed-4821-837b-6599dd5451ba,Edm.String,2021-06-19T14:32:20+0000,Edm.String,daemon,Edm.String,2021-06-19T14:32:20.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,syslog,Edm.String,Reloading.,Edm.String,0000000000000000009,Edm.String,2021-06-19T14:32:20.000Z,Edm.DateTime,0003940817177673730,Edm.String,localhost,Edm.String,info,Edm.String,2021-06-19T14:32:00.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,systemd,Edm.String,1,Edm.String
0000000000000000009___0637597099200000000,1d7e71c3-b5ed-4821-837b-6599dd5451ba___vm-adpoc-1___0003940817177673731,2021-06-19T14:33:11.140Z,1d7e71c3-b5ed-4821-837b-6599dd5451ba,Edm.String,2021-06-19T14:32:20+0000,Edm.String,daemon,Edm.String,2021-06-19T14:32:20.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,syslog,Edm.String,Started Azure Linux Diagnostic Extension.,Edm.String,0000000000000000009,Edm.String,2021-06-19T14:32:20.000Z,Edm.DateTime,0003940817177673731,Edm.String,localhost,Edm.String,info,Edm.String,2021-06-19T14:32:00.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,systemd,Edm.String,1,Edm.String
0000000000000000009___0637597099200000000,1d7e71c3-b5ed-4821-837b-6599dd5451ba___vm-adpoc-1___0003940817177673732,2021-06-19T14:33:11.140Z,1d7e71c3-b5ed-4821-837b-6599dd5451ba,Edm.String,2021-06-19T14:32:21+0000,Edm.String,auth,Edm.String,2021-06-19T14:32:21.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,syslog,Edm.String,Invalid user profile1 from 102.22.177.9 port 50290,Edm.String,0000000000000000009,Edm.String,2021-06-19T14:32:21.000Z,Edm.DateTime,0003940817177673732,Edm.String,localhost,Edm.String,info,Edm.String,2021-06-19T14:32:00.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,sshd,Edm.String,4340,Edm.String
0000000000000000009___0637597099200000000,1d7e71c3-b5ed-4821-837b-6599dd5451ba___vm-adpoc-1___0003940817177673733,2021-06-19T14:33:11.140Z,1d7e71c3-b5ed-4821-837b-6599dd5451ba,Edm.String,2021-06-19T14:32:21+0000,Edm.String,authpriv,Edm.String,2021-06-19T14:32:21.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,syslog,Edm.String,pam_unix(sshd:auth): check pass; user unknown,Edm.String,0000000000000000009,Edm.String,2021-06-19T14:32:21.000Z,Edm.DateTime,0003940817177673733,Edm.String,localhost,Edm.String,warn,Edm.String,2021-06-19T14:32:00.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,sshd,Edm.String,4340,Edm.String
0000000000000000009___0637597099200000000,1d7e71c3-b5ed-4821-837b-6599dd5451ba___vm-adpoc-1___0003940817177673734,2021-06-19T14:33:11.140Z,1d7e71c3-b5ed-4821-837b-6599dd5451ba,Edm.String,2021-06-19T14:32:21+0000,Edm.String,authpriv,Edm.String,2021-06-19T14:32:21.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,syslog,Edm.String,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=102.22.177.9,Edm.String,0000000000000000009,Edm.String,2021-06-19T14:32:21.000Z,Edm.DateTime,0003940817177673734,Edm.String,localhost,Edm.String,notice,Edm.String,2021-06-19T14:32:00.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,sshd,Edm.String,4340,Edm.String
0000000000000000009___0637597099200000000,1d7e71c3-b5ed-4821-837b-6599dd5451ba___vm-adpoc-1___0003940817177673735,2021-06-19T14:33:11.140Z,1d7e71c3-b5ed-4821-837b-6599dd5451ba,Edm.String,2021-06-19T14:32:21+0000,Edm.String,daemon,Edm.String,2021-06-19T14:32:21.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,syslog,Edm.String,2021-06-19T14:32:21.839745Z INFO ExtHandler ExtHandler ProcessGoalState completed [Incarnation: 3; 120647 ms; Activity Id: 06195b41-8721-4780-9750-7def2ecbc7dc; Correlation Id: 193956ba-4ab2-4b40-b40a-6cf96e3d3ab0; GS Creation Time: 2021-06-19T14:30:12.442421Z],Edm.String,0000000000000000009,Edm.String,2021-06-19T14:32:21.000Z,Edm.DateTime,0003940817177673735,Edm.String,localhost,Edm.String,info,Edm.String,2021-06-19T14:32:00.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,python3,Edm.String,1084,Edm.String
0000000000000000009___0637597099200000000,1d7e71c3-b5ed-4821-837b-6599dd5451ba___vm-adpoc-1___0003940817177673736,2021-06-19T14:33:11.140Z,1d7e71c3-b5ed-4821-837b-6599dd5451ba,Edm.String,2021-06-19T14:32:23+0000,Edm.String,auth,Edm.String,2021-06-19T14:32:23.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,syslog,Edm.String,Failed password for invalid user profile1 from 102.22.177.9 port 50290 ssh2,Edm.String,0000000000000000009,Edm.String,2021-06-19T14:32:23.000Z,Edm.DateTime,0003940817177673736,Edm.String,localhost,Edm.String,info,Edm.String,2021-06-19T14:32:00.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,sshd,Edm.String,4340,Edm.String
0000000000000000009___0637597099200000000,1d7e71c3-b5ed-4821-837b-6599dd5451ba___vm-adpoc-1___0003940817177673737,2021-06-19T14:33:11.140Z,1d7e71c3-b5ed-4821-837b-6599dd5451ba,Edm.String,2021-06-19T14:32:24+0000,Edm.String,auth,Edm.String,2021-06-19T14:32:24.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,syslog,Edm.String,Connection closed by invalid user profile1 102.22.177.9 port 50290 [preauth],Edm.String,0000000000000000009,Edm.String,2021-06-19T14:32:24.000Z,Edm.DateTime,0003940817177673737,Edm.String,localhost,Edm.String,info,Edm.String,2021-06-19T14:32:00.000Z,Edm.DateTime,vm-adpoc-1,Edm.String,sshd,Edm.String,4340,Edm.String
